ECOMMERCE MARKETPLACE BUILDER TESTING REPORT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Test Case ID,Test Case Description,Steps to Execute,Expected Result,Actual Result,Status,Severity Level,Remarks,Remarks,,,,,,,
TC001,Product Listing works,"Open product page, check product list",All products displayed correctly,Products display fine,Passed,Low,No issues found.,No issue found,,,,,,,
TC002,Filter function works,Apply filter by category/price,Products filtered correctly,Filtered list not accurate,Failed,Medium,Debug filter logic.,Functionality issue found,,,,,,,
TC003,Search function works,"Enter search query, view results",Relevant products displayed,returned expected result,Passed,Medium,Needs more accuracy,Needs more accuracy,,,,,,,
TC004,Product Detail Page routing,"Click on a product, view detail page",Correct product detail loaded,Detail page loads fine,Passed,Low,No issues found.,No issue found,,,,,,,
TC005,Image URL fetch from Sanity shows null,Fetch image URLs from Sanity,Images should display correctly,Null values returned,Failed,Medium,Handling error,Update code to handle null values,,,,,,,
TC006,Unexpected server error,Perform typical user actions,Server responds without error,Server error encountered,Failed,High,Unhandled server error,Use Cypress for testing and fix error,,,,,,,
TC007,Cart component functionality,Add products to the cart,Products should remain in cart,Cart functionality missing,Failed,High,Functionality not implemented,Use local storage to achieve this,,,,,,,
TC008,Order Summary Component,View order summary after adding products,Order summary displayed,Works as expected,Passed,Low,Easily done,No handling needed,,,,,,,
TC009,Authentication with Clerk,Add authentication to site,Clerk authentication enabled,Works as expected,Passed,Low,Easily added,No issue found,,,,,,,
TC010,Custom Sign-In/Sign-Up Pages with Clerk,Build custom login/signup pages,Custom pages render correctly,Pages not implemented,Failed,High,Still pending,Next priority to achieve,,,,,,,
TC011,Checkout Payment Page,Navigate to checkout and render payment page,Payment page renders properly,Payment page not rendering,Failed,High,Needs better handling,Use Suspense to fix this error,,,,,,,
TC012,Lighthouse Testing,Perform Lighthouse test,Good performance and SEO score,Received good results,Passed,Low,No issues found,No further action needed,,,,,,,
TC013,Cross-Browser Testing,"Test site on Chrome, Firefox, Safari, etc.",Works on all major browsers,Smooth experience,Passed,Low,No issues found,No further action needed,,,,,,,
TC014,Filter and Sort Functionality,Apply filter and sort on product listing,Products sorted and filtered,Not implemented yet,Failed,Medium,Still pending,Needs to be prioritized,,,,,,,
TC015,Responsive Design Testing,Resize browser and test on different devices,Layout adapts responsively,Mostly responsive,Passed,Medium,Minor adjustments needed,No major handling required,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
